model,dataset,mae,mape,rmse,split,inLen,outLen,tags,horizon,source
STGCN,GLA,22.54,13.94,38.57,6:2:2,12,12,"survey,2019",6,
STGCN,GLA,26.48,16.92,45.61,6:2:2,12,12,"survey,2019",12,
STGCN,GLA,22.48,14.15,38.55,6:2:2,12,12,"survey,2019",-1,
ASTGCN,GBA,21.4,17.65,33.61,6:2:2,12,12,"survey,2019",3,
ASTGCN,GBA,26.7,24.02,40.75,6:2:2,12,12,"survey,2019",6,
ASTGCN,GBA,33.64,31.15,51.21,6:2:2,12,12,"survey,2019",12,
ASTGCN,GBA,26.15,23.29,40.25,6:2:2,12,12,"survey,2019",-1,
DCRNN,GBA,18.25,14.37,29.73,6:2:2,12,12,"survey,2019",3,
DCRNN,GBA,22.25,19.82,35.04,6:2:2,12,12,"survey,2019",6,
DCRNN,GBA,28.68,28.69,44.39,6:2:2,12,12,"survey,2019",12,
DCRNN,GBA,22.35,20.15,35.26,6:2:2,12,12,"survey,2019",-1,
STGCN,GBA,20.62,15.84,33.81,6:2:2,12,12,"survey,2019",3,
STGCN,GBA,23.19,18.09,37.96,6:2:2,12,12,"survey,2019",6,
STGCN,GBA,26.53,21.77,43.88,6:2:2,12,12,"survey,2019",12,
STGCN,GBA,23.03,18.2,37.82,6:2:2,12,12,"survey,2019",-1,
DCRNN,CA,17.52,12.55,28.18,6:2:2,12,12,"survey,2019",3,
DCRNN,CA,21.72,16.56,34.19,6:2:2,12,12,"survey,2019",6,
DCRNN,CA,28.45,23.57,44.23,6:2:2,12,12,"survey,2019",12,
DCRNN,CA,21.81,16.92,34.35,6:2:2,12,12,"survey,2019",-1,
STGCN,CA,19.14,14.23,32.64,6:2:2,12,12,"survey,2019",3,
STGCN,CA,21.65,16.09,36.94,6:2:2,12,12,"survey,2019",6,
STGCN,CA,24.86,19.14,42.61,6:2:2,12,12,"survey,2019",12,
STGCN,CA,21.48,16.16,36.69,6:2:2,12,12,"survey,2019",-1,
